data/hora;idade;genero;situacao_conjugal;situacao_empregaticia;estado_reside;ies;nome_curso;nivel_ensino;data_inicio_ curso;tipo_ies;local_estudante;migrou_virtual;ies_fechou_dorm;situação_durante_pandemia;data_fechamento;residencia_atual;moradia_atual_permanente;morando_com; convive_risco_relevante;quarentena_imposta;vivenciou;acesso_servicos_saude;acesso_internet;capacidade_prosseguir_estudos;capacidade_socializacao ;bem_estar_psicologico;qualidade_de_vida;aulas_durante_pandemia;acesso_professores;acesso_infra_ies;espaco_físico;disposicao_atividades;desempenho_escolar;ies_reinicio;data_reinico;vacinado;dificuldades_academicas;despesas;renda_financeira;ajuda_financeira;nivel_endividamento;despesas_cresceram;dificuldades_financeiras; decisao_fechar;ies_positivo;ies_melhorar;ies_ajudar;nivel_ansiedade;ansiedade_planejamento;ansiedade_longo_prazo;detalhes_finais
20/10/2021;27;Masculino;Solteiro(a);Estagiário(a);SP;UNESP;Bacharelado em Sistemas de Informação;Graduação;14/04/2015;Pública;Outra cidade;Sim;Não sei;;01/01/2020;Em uma cidade em outro Estado;Sim;Família;Sim;Não;Dificuldades devido a alterações em suas condições de vida, incluindo o fechamento de alojamentos, perda de emprego, etc.;N/A ou Não sabe;O mesmo que antes;Muito melhor do que antes;O mesmo de antes;Melhor do que antes;;Foram mais ou menos o mesmo;Foi mais ou menos o mesmo;Ficou mais ou menos o mesmo;Melhorou;Aumentou;Aumentou;Não, ainda não retornou nenhuma atividade presencial;;Sim vacinado com duas doses ou com vacina de dose única;;Foram mais ou menos os mesmos;Está mais ou menos a mesma;Não;Estão mais ou menos as mesmas;Relacionadas com saúde, Viagens/deslocamentos, Alimentação;;De forma oportuna e prudente;uma boa escolha considerando que a maior parte dos professores é de idade mais avançada e o campus não estava preparado para as medidas preventivas, durante toda a pandemia muitos conhecidos pegaram, morreram, etc. Eu mesmo contrai o virus sendo que sou o que menos sai de casa, então dito isso aprovo as decisões da minha instituição.;talvez alguma metodologia, melhorar o portal e plataformas de ensino aproveitando esse momento de grande demanda digital.;futuramente tornasse possivel escolher entre presencial ou remoto para não prejudicar os alunos que moram longe do campus (outras cidades/estados) de maneira que não prejudicaria o professor e alunos, talvez salas live (?);N/A ou Não Sabe;O mesmo de antes;N/A ou Não Sabe;
21/10/2021;20;Masculino;Solteiro(a);Dependente (dos pais, etc.);SP;UNESP;Bacharelado em Ciência da Computação;Graduação;;Pública;Local;Sim;Sim;;;Fora do campus, mas na mesma cidade da instituição de ensino;Sim;Família;Sim;Não;Dificuldades para viajar/se deslocar;Muito pior do que antes;O mesmo que antes;O mesmo de antes;Pior do que antes;Muito pior do que antes;;Foram mais ou menos o mesmo;Piorou;Pioraram;Era mais ou menos o mesmo;Ficou mais ou menos a mesma;Foi mais ou menos o mesmo;Não, ainda não retornou nenhuma atividade presencial;;Sim vacinado com duas doses ou com vacina de dose única;Alguns professores, que prefiro não mencionar, não se encontram disponíveis para consulta. Isto é, não permitiram/permitem perguntas durante suas aulas síncronas e não estão disponíveis para consulta fora delas. Ou seja, não é possível sanar dúvidas de suas matérias diretamente sendo necessário buscar respostas independentemente. Entendo que a capacidade de estudar independentemente seja importante mas isso não significa que os professores possam simplesmente ignorar as dúvidas dos alunos sobre as matérias que lecionam. Fora isso, alguns colegas possuem dificuldades decorrentes de má disponibilidade de internet. Sendo incapazes, por exemplo, de manterem-se conectados por 4 horas consecutivas às aulas síncronas.;Foram mais ou menos os mesmos;Está mais ou menos a mesma;Não;Estão mais ou menos as mesmas;Aluguel, Internet, Alimentação, Outras (não relacionadas);;De forma oportuna e prudente;;"Sinto falta de um sistema para avaliar professores. Não apenas por causa das aulas remotas causadas pela pandemia mas também para uso durante aulas presenciais. Como disse previamente, alguns professores simplesmente ignoram dúvidas dos alunos e isso somado à aulas ruins gera um maus aprendizado e relação entre professor e alunos. Com sistema de avaliação, digo algum método de nós, alunos, apontarmos falhas dos professores como indisponibilidade injustificada, má didática e problemas com seu comportamento, poderíamos expressar isso à instituição. Por exemplo, no semestre passado um professor tinha a mania de apelidar os alunos e se referir a eles assim pelo semestre apesar de nossas reclamações. Eu era o ""testudo"" e um colega meu era o ""narigudo"", por exemplo. Eu não acho aceitável que um professor dê apelide alunos sem o consentimento dos próprios alunos.";;O mesmo de antes;O mesmo de antes;Pior do que antes;
22/10/2021;20;Masculino;Solteiro(a);Estagiário(a);SP;USP;Bacharelado em Ciência da Computação;Graduação;01/01/2019;Pública;Outra cidade;Sim;Não sei;Eu não lembro a data exata em que foram liberadas as aulas presenciais, mas tinha sido após o semestre começar. Muitos professores demoraram para adaptar as aulas para o formato virtual, e uma boa parte dos alunos voltou para suas cidades de origem, fora de São Carlos e as vezes até fora de São Paulo.;31/03/2019;Em uma cidade em outro Estado;Sim;Família;Não;Não;Dificuldades devido a alterações em suas condições de vida, incluindo o fechamento de alojamentos, perda de emprego, etc.;O mesmo de antes;Pior que antes;Muito pior do que antes;O mesmo de antes;Pior do que antes;A pandemia afetou drasticamente o curso de graduação. Agora, depois de quase dois anos, finalmente a faculdade e os alunos estão na mesma sintonia e muitos professores estão colaborando com os alunos ao não exagerar nas tarefas simplesmente pois estão todos em casa. Mas logo no início ocorreram vários problemas como quedas de aula virtual, professores exagerando conteúdo de uma vez só por não estarem acostumados com o ambiente, alunos perdendo vontade de acompanhar as aulas, etc.;Pioraram;Foi mais ou menos o mesmo;Ficou mais ou menos o mesmo;Piorou;Diminuiu;Foi mais ou menos o mesmo;Em parte (apenas algumas atividades  presenciais retornaram);01/08/2021;Sim vacinado com duas doses ou com vacina de dose única;Acompanhar as aulas foi o pior problema, seguido de perto por sobrecarga de atividades.;Diminuiram;Aumentou;Sim;Estão mais ou menos as mesmas;Aluguel;Imagino que com a pandemia se estabilizando, os descontos do aluguel em São Carlos vão ser vagarosamente removidos;Muito rapidamente;Ofereceu pacotes de internet para alunos que tivessem dificuldade em acessar as aulas, manteve comunicação forte entre corpo discente e a comissão de graduação;Balanceamento de atividades propostas pelos professores, melhor comunicação entre o corpo discente e docente (a comissão de graduação em si manteve a comunicação forte);Tivesse focado mais em adaptar o ensino dos alunos ao invés de manter as métricas de ensino no mesmo padrão de antes e forçar essas métricas numa situação radicalmente diferente (manter as mesmas notas, métodos avaliativos, cálculos de médias, etc);Pior do que antes;O mesmo de antes;O mesmo de antes;
25/10/2021;21;Masculino;Solteiro(a);Empregado(a);SP;UNESP;Bacharelado em Sistemas de Informação;Graduação;01/02/2018;Pública;Local;Sim;Não sei;;30/03/2020;Fora do campus, mas na mesma cidade da instituição de ensino;Sim;Família;Sim;Não;Dificuldades para viajar/se deslocar;Melhor do que antes;O mesmo que antes;O mesmo de antes;Pior do que antes;Pior do que antes;;Melhoraram;Melhorou;Melhorou;Era mais ou menos o mesmo;Ficou mais ou menos a mesma;Aumentou;Não, ainda não retornou nenhuma atividade presencial;;Sim vacinado com duas doses ou com vacina de dose única;;Aumentaram;Aumentou;Não;Aumentaram;Viagens/deslocamentos, Internet, Alimentação, Outras (não relacionadas);;De forma oportuna e prudente;Logo quando iniciou os alertas para COVID-19, o câmpus fechou para os alunos não terem contato com os outros e assim previnir a doença.;Gostaria que minha instituição tivesse começado as aulas online logo no início da pandemia, porém demorou cerca de 2 meses para estabelecer as aulas.;Além do que foi feito, ajudaria muito se minha instituição...;Pior do que antes;O mesmo de antes;Pior do que antes;
25/10/2021;24;Feminino;Solteiro(a);Empregado(a);SP;UNESP;Bacharelado em Ciência da Computação;Graduação;11/03/2019;Pública;Outra cidade;Sim;Não sei;;17/03/2020;;Sim;Família;Sim;Não;Dificuldades devido a alterações em suas condições de vida, incluindo o fechamento de alojamentos, perda de emprego, etc.;Pior do que antes;Melhor do que antes;Pior do que antes;O mesmo de antes;Muito pior do que antes;Foi bem difícil lidar com problemas familiares durante os anos de pandemia. Comecei a tomar remédios controlados.;Melhoraram;Foi mais ou menos o mesmo;Pioraram;Melhorou;Aumentou;Foi mais ou menos o mesmo;Não, ainda não retornou nenhuma atividade presencial;;Sim, com a 1a. dose;Gosto bastante de estudar online, por ter começado a trabalhar o EAD encaixou perfeitamente.;Aumentaram;Está mais ou menos a mesma;Sim;Estão mais ou menos as mesmas;Relacionadas com saúde, Aluguel, Internet, Alimentação, Outras (não relacionadas);Não tenho contato com meus pais ou apoio financeiro desde os 18 anos. Trabalho desde o primeiro ano de curso e não sei se conseguiria largar meu emprego para estudar presencialmente em Bauru.;De forma oportuna e prudente;Adaptação dos cursos e atividades avaliativas, bem como abertura a discussão com o corpo discente a respeito dos mesmos.;Unificar a plataforma em que os cursos são oferecidos (moodle ou classroom).;Permitisse que os alunos do último ano permanecessem em EAD.;Muito pior do que antes;Pior do que antes;Muito pior do que antes;Tive covid-19 no início de Abril, descobri um problema cardíaco e foi difícil voltar as disciplinas. Duas semanas são muita coisa, a matéria avança bastante. Agradeço o apoio que recebi dos professores.
25/10/2021;21;Masculino;Solteiro(a);Empregado(a);SP;UNESP;Bacharelado em Sistemas de Informação;Graduação;10/04/2017;Pública;Outra cidade;Sim;Não sei;;14/03/2020;Fora do campus, mas na mesma cidade da instituição de ensino;Sim;Família;Não;Não;Ajuda ou assistência de pessoas desconhecidas;O mesmo de antes;O mesmo que antes;N/A ou Não Sabe;Pior do que antes;Pior do que antes;;Foram mais ou menos o mesmo;Piorou;Ficou mais ou menos o mesmo;Era mais ou menos o mesmo;Diminuiu;Foi mais ou menos o mesmo;Não, ainda não retornou nenhuma atividade presencial;;Sim vacinado com duas doses ou com vacina de dose única;;Aumentaram;Está mais ou menos a mesma;Não;Estão mais ou menos as mesmas;Viagens/deslocamentos, Alimentação;;De forma oportuna e prudente;Reconheço que minha instituição e seus coordenadores fizeram todo o possível para possibilitar o acesso de todos os alunos às aulas remotas.;Gostaria que minha instituição tivesse tomado as decisões sobre adaptar as aulas anteriormente presenciais para remotas um pouco mais rápido, de modo que o calendário não ficasse tão comprometido;Creio que nao;O mesmo de antes;Pior do que antes;Melhor do que antes;
25/11/2021;23;Masculino;Solteiro(a);Empregado(a);SP;UNESP;Bacharelado em Sistemas da Informação;Graduação;01/04/2017;Pública;Outra cidade;Sim;Não se aplica;;14/03/2020;Em outra cidade da instituição de ensino mas dentro do mesmo estado;Sim;Família;Não;Não;Não se aplica / Não sabe / Não se lembra;N/A ou Não sabe;O mesmo que antes;Pior do que antes;Muito pior do que antes;Muito pior do que antes;Acredito que com o caminhar da pandemia e o isolamento social, passei a ter mais crises de ansiedade devido a falta do contato humano.;Foram mais ou menos o mesmo;Foi mais ou menos o mesmo;Ficou mais ou menos o mesmo;Piorou;Diminuiu;Foi mais ou menos o mesmo;Não, ainda não retornou nenhuma atividade presencial;;Sim vacinado com duas doses ou com vacina de dose única;;Foram mais ou menos os mesmos;Está mais ou menos a mesma;Não;Estão mais ou menos as mesmas;Relacionadas com saúde, Internet;;De forma oportuna e prudente;Acredito que a Unesp se solidarizou com os alunos por meio de questionários para entender a situação de cada um deles.;Acredito que não tenho nada a comentar.;Acredito que não tenho nada a comentar.;Pior do que antes;Pior do que antes;Muito pior do que antes;
25/11/2021;19;Feminino;Solteiro(a);Empregado(a);SP;UNISAGRADO ;Estética e cosmética ;Graduação;17/02/2020;Privada;Outra cidade;Sim;Não sei;;;Em outra cidade da instituição de ensino mas dentro do mesmo estado;Sim;Família;Não;Não;Dificuldades para viajar/se deslocar;Melhor do que antes;Melhor do que antes;Pior do que antes;Melhor do que antes;Pior do que antes;;Melhoraram;Foi mais ou menos o mesmo;Pioraram;Era mais ou menos o mesmo;Diminuiu;Diminuiu;Em parte (apenas algumas atividades  presenciais retornaram);16/08/2021;Sim vacinado com duas doses ou com vacina de dose única;;Diminuiram;Está mais ou menos a mesma;Não;Diminuiram;Relacionadas com saúde, Viagens/deslocamentos, Aluguel, Internet, Alimentação;;De forma oportuna e prudente;Reconheço que minha instituição disponibilizou plataformas que facilitassem a realização de atividades.;;;Melhor do que antes;Melhor do que antes;Melhor do que antes;
25/11/2021;19;Feminino;Solteiro(a);Dependente (dos pais, etc.);SP;UFRJ;Serviço Social ;Graduação;12/07/2021;Pública;Outra cidade;Sim;Não sei;;;Em uma cidade em outro Estado;Sim;Família;Não;Não;Não se aplica / Não sabe / Não se lembra;O mesmo de antes;O mesmo que antes;Pior do que antes;Pior do que antes;Muito pior do que antes;;Pioraram;Piorou;Ficou mais ou menos o mesmo;Piorou;Diminuiu;Diminuiu;Não, ainda não retornou nenhuma atividade presencial;;Sim vacinado com duas doses ou com vacina de dose única;;Diminuiram;Está mais ou menos a mesma;Não;Diminuiram;Viagens/deslocamentos, Aluguel;;De forma oportuna e prudente;Minha instituição implementou um auxílio internet que disponibiliza uma qualidade diante das aulas remotas aos estudantes que carecem do acesso as aulas virtuais. ;;;Pior do que antes;Muito pior do que antes;Muito pior do que antes;
25/11/2021;22;Masculino;Solteiro(a);Estagiário(a);SP;UNESP;Engenharia Civil;Graduação;17/04/2017;Pública;Outra cidade;Sim;Não sei;Adaptar completamente o formato do curso, levando em consideração a situação de saúde global, assim como respeitando as singularidades financeiras, sociais e de saúde de cada estudante, foi o maior desafio.;13/03/2020;Em outra cidade da instituição de ensino mas dentro do mesmo estado;Sim;Família;Não;Não;Dificuldades para viajar/se deslocar;O mesmo de antes;O mesmo que antes;Pior do que antes;Melhor do que antes;O mesmo de antes;;Pioraram;Piorou;Ficou mais ou menos o mesmo;Era mais ou menos o mesmo;Diminuiu;Aumentou;Não, ainda não retornou nenhuma atividade presencial;;Sim vacinado com duas doses ou com vacina de dose única;;Foram mais ou menos os mesmos;Aumentou;Sim;Estão mais ou menos as mesmas;Viagens/deslocamentos;;De forma oportuna e prudente;;;;O mesmo de antes;O mesmo de antes;O mesmo de antes;
25/11/2021;21;Feminino;Solteiro(a);Estagiário(a);SP;ITE;Direito ;Graduação;05/02/2018;Privada;Outra cidade;Sim;Não se aplica;;17/03/2020;Em outra cidade da instituição de ensino mas dentro do mesmo estado;Sim;Família;Não;Não;Não se aplica / Não sabe / Não se lembra;O mesmo de antes;O mesmo que antes;Muito pior do que antes;O mesmo de antes;Pior do que antes;;Foram mais ou menos o mesmo;Foi mais ou menos o mesmo;Melhorou;Era mais ou menos o mesmo;Diminuiu;Aumentou;Em parte (apenas algumas atividades  presenciais retornaram);01/10/2021;Sim vacinado com duas doses ou com vacina de dose única;;Aumentaram;Está mais ou menos a mesma;Não;Estão mais ou menos as mesmas;Outras (não relacionadas);;Muito rapidamente;;;;Pior do que antes;O mesmo de antes;Muito pior do que antes;
25/11/2021;23;Feminino;Solteiro(a);Empregado(a);SP;UNISAGRADO ;Enfermagem ;Graduação;17/02/2017;Privada;Local;Sim;Não sei;;;Fora do campus, mas na mesma cidade da instituição de ensino;Sim;Família;Não;Não;Ajuda ou assistência de pessoas desconhecidas;Melhor do que antes;O mesmo que antes;Pior do que antes;Melhor do que antes;Melhor do que antes;;Foram mais ou menos o mesmo;Melhorou;Ficou mais ou menos o mesmo;Melhorou;Ficou mais ou menos a mesma;Aumentou;Em parte (apenas algumas atividades  presenciais retornaram);;Sim vacinado com duas doses ou com vacina de dose única;;Foram mais ou menos os mesmos;Está mais ou menos a mesma;Não;Estão mais ou menos as mesmas;Alimentação;;De forma oportuna e prudente;Seguiu o protocolo instaurado, sendo assim o ensino remoto foi aplicado visando proteger a todos;;;O mesmo de antes;O mesmo de antes;Melhor do que antes;
